Events_InstCode,Events_InstName,Event_Year,Event_Department,Event_College,Event_Name,Event_NameAR,Event_Desc,Event_DescAR,Event_Website,Event_main_category,Event_Category,Event_Type,HEI_role,Event_Industry,Event_specialization,Event_Venue,Event_City,Event_Country,Event_Start_Date,Event_End_Date,Event_hours,Event_Frequency,Event_Audience,Audience_Type,Event_Attendees,Event_Scope,Event_Registration,Event_Ticket_Price,Event_Budget,Event_student_ind,Last_Updated
81,Ajman University,2025,Medicine,College of Law,Rashid Hassan,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/faculty,CE,AC,Part-time,OE,32,05,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ajman,301,2022-01-08,2026-08-06,21,OT,ST,Part-time,A,L,N,2192390.23,7312774.05,Y,2023-05-29
83,British University in Dubai,2025,Arabic Studies,College of Business,Hassan Al Kaabi,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/research,CE,AC,Online,OE,40,13,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Abu Dhabi,386,2022-03-13,2026-12-06,3,OT,ST,Full-time,A,L,N,6821827.16,1393851.92,Y,2024-05-20
75,United Arab Emirates University,2025,Accounting,College of Information Technology,Aisha Al Nuaimi,شما سلطان,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Default,https://www.institution.ac.ae/research,CE,AC,Online,OE,84,03,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Fujairah,458,2022-05-19,2026-09-16,96,OT,ST,Full-time,A,L,N,2279807.41,6997691.58,Y,2024-03-25
83,British University in Dubai,2024,Electrical Engineering,College of Arts and Humanities,Shamma Al Dhaheri,مريم أحمد,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/faculty,CE,AC,Full-time,OE,63,04,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Umm Al Quwain,347,2024-05-28,2025-05-21,76,OT,ST,Part-time,A,L,N,6048251.73,797651.76,Y,2020-04-16
76,Zayed University,2025,Computer Science,College of Information Technology,Majid Al Nuaimi,فاطمة علي,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/programs,CE,AC,Online,OE,93,09,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Fujairah,426,2024-08-02,2024-05-21,26,OT,ST,Part-time,A,L,N,8431868.22,484686.66,Y,2021-10-09
79,University of Sharjah,2025,Computer Science,College of Education,Shamma Al Junaibi,أحمد محمد,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/programs,CE,AC,Part-time,OE,80,14,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ajman,294,2024-11-01,2024-02-19,40,OT,ST,Full-time,A,L,N,912791.35,5091786.34,Y,2020-06-26
84,Dubai Medical College,2025,Education,College of Arts and Humanities,Maitha Al Falasi,محمد حسن,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Default,https://www.institution.ac.ae/programs,CE,AC,Full-time,OE,18,52,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,326,2024-10-16,2024-01-14,13,OT,ST,Online,A,L,N,6917597.29,618980.95,Y,2020-07-03
81,Ajman University,2025,History,College of Business,Salem Patel,حسن عبدالله,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Normal,https://www.institution.ac.ae/programs,CE,AC,Full-time,OE,93,11,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,287,2024-08-19,2025-03-16,74,OT,ST,Online,A,L,N,2503069.11,2106232.67,Y,2022-07-24
83,British University in Dubai,2025,Medicine,College of Engineering,Abdullah Al Shamsi,محمد حسن,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/research,CE,AC,Online,OE,43,26,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,451,2024-02-09,2024-08-18,49,OT,ST,Online,A,L,N,9048104.07,6912961.88,Y,2020-05-16
82,American University in Dubai,2024,History,College of Information Technology,Ahmed Al Zaabi,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/faculty,CE,AC,Online,OE,3,14,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Abu Dhabi,240,2022-05-29,2025-05-17,23,OT,ST,Online,A,L,N,152465.48,548351.06,Y,2025-11-04
75,United Arab Emirates University,2025,Architecture,College of Information Technology,Mohammed Al Falasi,محمد حسن,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/programs,CE,AC,Part-time,OE,12,51,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,117,2022-10-30,2024-10-31,67,OT,ST,Full-time,A,L,N,9054293.42,3311589.09,Y,2024-11-23
83,British University in Dubai,2024,Education,College of Engineering,Majid Hassan,فاطمة علي,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/research,CE,AC,Online,OE,100,01,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Fujairah,245,2024-06-02,2024-09-02,76,OT,ST,Online,A,L,N,1569672.03,8825471.57,Y,2021-01-01
77,Khalifa University,2025,Mechanical Engineering,College of Information Technology,Sultan Al Falasi,نورة سعيد,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Normal,https://www.institution.ac.ae/faculty,CE,AC,Full-time,OE,20,01,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ajman,52,2020-02-07,2026-10-09,64,OT,ST,Full-time,A,L,N,2588502.84,1070467.41,Y,2023-03-04
78,American University of Sharjah,2024,Sociology,College of Education,Saeed Singh,خالد راشد,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Normal,https://www.institution.ac.ae/faculty,CE,AC,Full-time,OE,38,40,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ajman,432,2022-03-15,2025-07-30,86,OT,ST,Full-time,A,L,N,4897821.68,9854313.01,Y,2021-01-02
78,American University of Sharjah,2025,Mathematics,College of Business,Sultan Singh,فاطمة علي,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Default,https://www.institution.ac.ae/research,CE,AC,Full-time,OE,78,23,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Umm Al Quwain,11,2023-05-08,2025-12-25,72,OT,ST,Part-time,A,L,N,4711964.22,1333531.0,Y,2022-10-04
83,British University in Dubai,2025,Electrical Engineering,College of Engineering,Ahmed Patel,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/research,CE,AC,Part-time,OE,32,43,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Dubai,117,2020-03-19,2026-07-14,83,OT,ST,Part-time,A,L,N,4483310.73,612659.56,Y,2025-03-12
77,Khalifa University,2024,Mathematics,College of Education,Noor Al Kaabi,محمد حسن,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/programs,CE,AC,Part-time,OE,47,40,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,153,2024-05-26,2026-11-04,75,OT,ST,Full-time,A,L,N,2041123.16,5416069.45,Y,2024-03-09
76,Zayed University,2025,Marketing,College of Education,Khalid Al Mazrouei,مريم أحمد,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/programs,CE,AC,Part-time,OE,93,11,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Fujairah,62,2020-12-29,2025-04-22,84,OT,ST,Online,A,L,N,3668349.19,1984546.74,Y,2022-03-13
75,United Arab Emirates University,2025,Marketing,College of Arts and Humanities,Shamma Al Dhaheri,حسن عبدالله,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Normal,https://www.institution.ac.ae/research,CE,AC,Part-time,OE,85,03,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ajman,317,2022-12-30,2024-04-04,28,OT,ST,Part-time,A,L,N,3445899.23,7172767.5,Y,2023-12-31
81,Ajman University,2025,English Literature,College of Business,Sheikha Al Dhaheri,حسن عبدالله,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/faculty,CE,AC,Full-time,OE,66,50,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Dubai,349,2022-09-03,2024-11-04,8,OT,ST,Full-time,A,L,N,7930459.69,5369465.63,Y,2021-10-15
81,Ajman University,2024,Law,College of Law,Khalid Al Falasi,علي خالد,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/faculty,CE,AC,Online,OE,38,27,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ras Al Khaimah,377,2022-10-11,2025-11-29,28,OT,ST,Part-time,A,L,N,5458158.45,3738988.83,Y,2020-12-02
81,Ajman University,2024,Physics,College of Information Technology,Maryam Al Mansoori,شما سلطان,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/faculty,CE,AC,Online,OE,89,54,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ajman,138,2021-12-29,2025-09-24,67,OT,ST,Part-time,A,L,N,5804776.47,2316164.36,Y,2021-05-10
79,University of Sharjah,2025,Education,College of Arts and Humanities,Rashid Al Mazrouei,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/research,CE,AC,Online,OE,68,40,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Dubai,333,2024-09-09,2025-11-07,34,OT,ST,Full-time,A,L,N,6618318.74,1092510.79,Y,2025-08-18
83,British University in Dubai,2025,Civil Engineering,College of Arts and Humanities,Hessa Al Zaabi,فاطمة علي,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Primary,https://www.institution.ac.ae/programs,CE,AC,Part-time,OE,92,27,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Abu Dhabi,47,2023-11-25,2026-06-14,71,OT,ST,Part-time,A,L,N,6183858.39,4942254.64,Y,2024-11-06
84,Dubai Medical College,2024,Sociology,College of Engineering,Noor Al Mansoori,فاطمة علي,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Default,https://www.institution.ac.ae/research,CE,AC,Online,OE,34,04,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Fujairah,26,2024-09-14,2025-08-08,30,OT,ST,Online,A,L,N,5533083.66,5157395.16,Y,2023-07-13
81,Ajman University,2025,Physics,College of Medicine,Rashid Khan,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Default,https://www.institution.ac.ae/faculty,CE,AC,Online,OE,97,50,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ras Al Khaimah,432,2020-01-25,2026-01-04,69,OT,ST,Part-time,A,L,N,5610659.05,618108.9,Y,2025-02-05
84,Dubai Medical College,2025,Nursing,College of Medicine,Ahmed Al Zaabi,شما سلطان,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Default,https://www.institution.ac.ae/research,CE,AC,Part-time,OE,50,09,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Dubai,269,2023-12-26,2026-10-28,85,OT,ST,Online,A,L,N,5995835.62,7056591.42,Y,2021-12-14
76,Zayed University,2024,English Literature,College of Business,Noor Al Nuaimi,حسن عبدالله,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Standard,https://www.institution.ac.ae/faculty,CE,AC,Part-time,OE,76,24,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Umm Al Quwain,435,2022-01-23,2024-12-05,99,OT,ST,Online,A,L,N,210243.76,448334.57,Y,2024-04-07
75,United Arab Emirates University,2025,Marketing,College of Information Technology,Omar Khan,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Standard,https://www.institution.ac.ae/programs,CE,AC,Part-time,OE,54,09,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Dubai,138,2020-09-09,2026-12-28,85,OT,ST,Online,A,L,N,4231028.8,6432742.78,Y,2021-05-25
84,Dubai Medical College,2024,Accounting,College of Education,Hassan Hassan,حسن عبدالله,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/faculty,CE,AC,Online,OE,100,26,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Ras Al Khaimah,260,2022-05-07,2025-12-03,5,OT,ST,Part-time,A,L,N,2940750.29,1404713.41,Y,2023-10-25
83,British University in Dubai,2024,Mathematics,College of Education,Majid Khan,عائشة سالم,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Regular,https://www.institution.ac.ae/research,CE,AC,Full-time,OE,80,43,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Fujairah,388,2022-03-20,2024-02-29,22,OT,ST,Full-time,A,L,N,9591984.18,2810610.86,Y,2022-10-26
81,Ajman University,2025,History,College of Information Technology,Fatima Al Kaabi,محمد حسن,"This annual conference covers a broad range of topics, including micro and nanoelectronics, photonics, semiconductor materials, fabrication techniques, and emerging applications in areas like AI, IoT, and 5G communications.",Standard,https://www.institution.ac.ae/programs,CE,AC,Part-time,OE,12,14,"Auditorium, Ministry of Education, Khalifa City Branch, Street 26th, Khalifa city",Sharjah,444,2020-06-08,2024-11-04,95,OT,ST,Part-time,A,L,N,7186710.06,2259214.84,Y,2021-11-13
